Name,Location,Coffee,Food,Vibe,Service,Pretentiousness,Good place to work?,Notes
Ballard Coffee Works,Ballard,,,,,,,
Cafe Bambino,Ballard,,,,,,,
Fresh Flours,Beacon Hill,,,,,,,
The Station,Beacon Hill,,,,,,,
Analog Coffee,Beacon Hill,,,,,,,
Argento,Beacon Hill,,,,,,,
Atulea,Beacon Hill,,,,,,,
Bakery Nouveau,Beacon Hill,,,,,,,
Caffe Vita,Beacon Hill,,,,,,,
Capitol Coffee Works,Beacon Hill,,,,,,,
Fuel (19th),Beacon Hill,,,,,,,
General Porpoise,Beacon Hill,,,,,,,
Ghost Note,Beacon Hill,,,,,,,
Good Weather Bicycle & Cafe,Beacon Hill,,,,,,,
Joe Bar,Beacon Hill,,,,,,,
Kaladi Bros,Beacon Hill,,,,,,,
Porchlight,Beacon Hill,,,,,,,
Starbucks Reserve,Beacon Hill,,,,,,,
Victrola (15th),Beacon Hill,,,,,,,
Vivace,Beacon Hill,,,,,,,
Vivace Sidewalk Stop,Beacon Hill,,,,,,,
Alexandra's,Central District,3,5,5,5,3,2,Their guava poptarts are really good
Broadcast (Yesler),Central District,,,,,,,
Broadcast (Temple Pastries),Central District,,,,,,,
Katy's,Central District,,,,,,,
Squirrel Chops,Central District,,,,,,,
Union Coffee,Central District,,,,,,,
Columbia City Bakery,Columbia City,,,,,,,
Empire Espresso,Columbia City,,,,,,,
Olympia Coffee,Columbia City,,,,,,,
Storyville,Everywhere,,,,,,,
Starbucks (normal),Everywhere,,,,,,,
Cafe Ladro,Everywhere,,,,,,,
Tougo,First Hill,,,,,,,
Fremont Coffee Co.,Fremont,,,,,,,
Lighthouse Roasters,Fremont,,,,,,,
MiiR,Fremont,,,,,,,
Stone Way Cafe,Fremont,,,,,,,
Milstead,Fremont,,,,,,,
PIM Coffee+ Bikes,Fremont,,,,,,,
Hood Famous,International District,5,5,5,5,3,1,Highly recommend the iced lilikoi matcha.
Tous les Jour,International District,3,3,2,4,1,3,
Fuji Bakery,International District,5,5,5,5,1,1,"Super friendly staff, amazing pastries. Small menu up front lists things that aren't in the window. Matcha lattes are a little too sweet. "
Fuel,Montlake,,,,,,,
QED Coffee,Mt. Baker,,,,,,,
Cafe Vitta (Pioneer Square),Pioneer Square,,,,,,,
Elm,Pioneer Square,,,,,,,
Zeitgeist,Pioneer Square,5,4,4,4,2,4,Lots of open space. Can usually find a table.
Allegro,U District,,,,,,,
Cafe on the Ave,U District,,,,,,,
Herkimer,U District,,,,,,,
Solstice,U District,,,,,,,
Ugly Mug,U District,,,,,,,
A Muddy Cup,Wallingford,,,,,,,
Irwin's,Wallingford,,,,,,,
C&P,West Seattle,,,,,,,
Javasti,Maple Leaf,,,,,,,
Cloud City ,Maple Leaf,,,,,,,